var1 var2 var3 var4 class
10.39 73.32 2.02 28.26 1
11.13 68.71 1.86 27.83 0
12.71 74.27 1.89 28.26 0
11.46 91.06 1.63 28.26 0
11.72 85.38 1.51 28.26 1
13.39 78.68 1.89 28.26 0
13.02 68.02 2.01 28.26 1
12.08 64.37 2.18 28.26 0
11.58 60.71 2.28 28.26 1
8.94 65.67 1.92 27.04 1
11.61 59.57 2.32 27.52 0
19.06 74.49 1.69 63.35 0
17.52 73.62 1.73 63.51 1
19.52 71.52 1.79 63.51 1
18.76 67.55 1.86 63.51 0
19.84 53.34 2.3 63.51 0
20.19 59.82 1.97 63.51 0
17.43 57.89 2.05 63.38 1
17.9 59.95 1.89 63.51 0
18.97 57.84 2.01 63.51 1
19.22 57.74 2.05 63.51 1
17.55 55.66 1.99 63.51 0
19.22 101.31 6.76 94.29 1
19.41 99.47 6.07 94.15 0
18.99 94.01 7.32 94.08 1
19.88 103.57 6.98 94.58 0
19.08 95.38 5.66 94.14 1
20.36 100.43 6.13 94.47 0
20.13 98.78 7.37 94.47 1
20.36 89.36 8.79 94.71 1
20.96 84.48 8.33 94.01 0
21.02 83.97 6.78 94.72 0
19.6 95.64 6.56 94.57 1
